ANNEE;REG;A21;NB_UL
2018;44;M;27994
2021;32;M;34966
2015;76;L;30398
2017;28;I;11346
2016;93;J;9616
2018;76;J;10600
2021;24;P;5508
2017;75;C;23197
2018;75;D;4111
2021;84;S;40965
2018;44;E;1725
2021;75;I;29177
2020;84;G;92367
2021;11;R;52584
2021;93;F;67415
2014;44;M;23619
2015;44;P;7857
2018;53;Q;26531
2018;53;R;7236
2018;04;G;7975
2016;11;N;46199
2014;93;Q;47747
2015;75;R;11570
2015;24;I;7882
2019;84;F;75678
2018;75;S;26842
2021;93;C;23590
2016;44;C;17217
2015;27;M;11408
2016;24;F;17699
2017;11;G;126473
2015;93;P;14676
2016;75;S;24282
2020;52;M;26695
2018;53;I;14170
2019;53;M;20389
2021;02;I;1781
2018;93;L;30812
2014;84;D;2434
2021;94;F;6934
2019;32;M;29839
2020;11;N;58136
2016;44;I;17002
2016;75;E;1155
2016;32;G;47527
2018;32;N;10968
2020;28;F;22356
2018;76;P;17502
2014;11;L;50851
2018;52;N;9421
2014;32;G;46919
2020;24;I;8611
2021;28;L;12684
2021;53;M;24950
2019;11;D;3290
2019;44;F;36548
2020;28;L;12004
2019;11;M;225079
2015;84;C;32451
2015;44;F;34565
2018;53;C;12059
2014;75;C;22137
2020;24;C;9264
2019;84;I;38112
2017;75;I;25615
2020;52;L;19782
2017;84;G;87628
2018;53;F;24141
2017;28;M;14280
2014;27;Q;15583
2018;76;D;5857
2020;44;C;18940
2014;28;M;12684
2018;32;S;17756
2015;84;L;42240
2020;11;M;236446
2020;76;Q;62148
2019;44;R;9596
2014;11;S;34199
2021;27;P;6140
2018;75;C;24231
2015;84;Q;56969
2016;75;L;32297
2016;28;N;7017
2019;27;M;14166
2019;84;H;17090
2019;28;P;5481
2018;53;J;4672
2018;75;R;13413
2014;11;R;42818
2015;76;I;26772
2015;24;C;8524
2017;44;I;17106
2015;76;K;12088
2016;93;F;56133
2020;11;G;137392
2021;84;G;96076
2016;02;F;2667
2014;52;Q;20845
2018;84;S;31006
2016;76;R;12790
2016;32;N;9311
2016;76;N;16958
2015;84;P;25915
2018;52;R;7574
2016;93;C;19065
2019;75;M;42921
2014;44;F;34823
2017;93;I;28557
2020;32;F;33973
2020;75;I;28009
2017;93;L;29526
2017;27;F;19292
2015;75;L;32076
2020;93;C;21732
2019;84;L;46877
2018;93;R;13478
2016;11;H;44899
2019;84;S;33691
2020;84;M;74542
2018;11;F;84529
2021;44;I;18535
2019;76;I;30209
2015;24;N;5655
2020;24;D;1104
2017;53;R;6715
2020;28;I;11975
2021;93;N;33680
2015;02;F;2570
2020;44;M;31286
2017;94;S;1591
2020;03;I;658
2016;28;Q;17748
2016;28;S;10400
2020;75;M;45979
2015;52;F;24569
2014;44;I;16350
2015;76;Q;50917
2015;32;M;23700
2020;32;C;16095
2018;75;Q;51129
2015;53;D;1344
2018;32;R;8255
2017;44;P;8455
2017;93;S;23258
2021;76;H;15133
2021;76;I;31802
2018;32;F;32193
2021;93;I;31863
2014;28;P;4322
2015;76;S;23268
2014;24;L;10356
2021;93;G;79346
2020;76;R;15014
2020;11;C;32312
2015;84;N;21925
2019;11;C;31134
2017;52;P;6564
2017;76;L;30718
2020;11;R;49664
2015;52;D;1895
2020;93;L;32919
2014;52;J;4201
2015;24;L;10162
2016;32;S;16417
2019;44;C;18226
2020;93;G;75566
2020;11;L;61774
2017;32;C;13950
2018;27;H;3080
2021;84;M;82835
2014;01;S;838
2016;44;H;5510
2017;84;S;28549
2015;32;R;7124
2019;93;N;27347
2017;93;D;1986
2014;44;N;9092
2021;11;F;98891
2014;93;R;11419
2016;75;Q;45921
2014;32;N;8390
2014;84;I;33955
2020;76;S;29930
2015;52;Q;21937
2016;24;C;8468
2020;93;I;30696
2016;76;S;23445
2021;52;F;28946
2014;11;I;43456
2020;52;P;7995
2017;44;G;52367
2015;53;K;9345
2016;52;M;19381
2016;84;H;11491
2018;76;C;22655
2018;32;M;27854
2019;44;J;6719
2015;52;M;18459
2017;24;G;23894
2019;52;R;8115
2018;76;K;14491
2016;28;F;20840
2021;75;N;26180
2021;27;H;5085
2021;28;F;23711
2019;75;I;27615
2021;28;G;34058
2021;44;L;22496
2015;75;S;24064
2019;27;L;12173
2020;84;I;38785
2019;32;R;8903
2015;93;N;20524
2014;27;D;722
2021;76;S;33519
2014;32;I;15856
2020;84;R;20460
2016;93;H;9154
2021;32;K;15008
2018;53;P;6187
2020;93;F;63075
2016;75;M;33645
2017;76;H;7349
2020;75;C;26737
2016;32;R;7343
2021;28;J;4879
2021;32;G;54901
2018;94;S;1748
2021;11;Q;91728
2018;11;J;70654
2016;11;I;45566
2015;75;M;32203
2016;24;M;10711
2020;52;J;6673
2016;24;S;8368
2017;11;I;46347
2015;24;M;10337
2021;04;M;4996
2018;28;S;11145
2019;53;H;4565
2019;84;G;91115
2015;52;N;7966
2016;01;F;2851
2015;32;F;31127
2019;84;C;35131
2016;27;M;11917
2014;24;N;5407
2019;84;P;32102
2021;84;N;35615
2018;27;D;1198
2017;28;P;4881
2018;76;N;19609
2019;52;P;7808
2018;84;R;18990
2018;75;P;14046
2014;76;L;30745
2015;53;H;3230
2019;24;G;24828
2017;76;C;21578
2017;27;L;11753
2017;84;R;17638
2016;75;H;6724
2019;11;I;49675
2018;11;L;56476
2017;76;S;23973
2014;32;C;13887
2020;93;H;15484
2015;75;P;11267
2016;53;R;6648
2017;11;R;44872
2018;44;C;17617
2016;75;C;22781
2018;11;K;48278
2019;11;P;42031
2015;11;N;44820
2014;93;J;9001
2021;32;Q;42756
2014;24;R;4058
2020;28;N;8993
2019;52;N;10475
2014;27;I;9517
2017;75;H;7153
2021;28;M;19530
2016;84;I;35595
2015;76;R;12329
2021;53;S;14792
2017;76;N;17847
2018;76;Q;58322
2020;53;F;25476
2015;24;G;23767
2020;24;S;10157
2020;27;P;5586
2021;84;I;39867
2018;27;G;29756
2021;93;P;21031
2016;93;P;15360
2021;75;C;29243
2016;53;S;10374
2017;28;F;20789
2015;53;P;5265
2016;84;D;3048
2016;84;C;32613
2019;93;I;30340
2015;76;H;6429
2016;28;D;715
2020;53;M;22002
2017;93;N;22472
2015;52;L;17677
2019;53;P;6547
2018;84;K;23527
2014;32;K;10063
2018;53;G;31019
2020;11;P;44163
2016;32;I;16310
2018;24;F;18125
2019;53;F;24814
2016;27;Q;16782
2014;28;I;10778
2021;24;N;8969
2020;32;R;8620
2016;44;F;34426
2018;28;F;21097
2014;04;F;4783
2014;94;G;4956
2021;03;F;1488
2019;52;M;24780
2021;75;S;35157
2020;04;G;9018
2019;11;L;59065
2017;44;C;17221
2018;44;H;7002
2020;76;C;25120
2018;28;N;7711
2016;27;H;2733
2016;27;N;5771
2014;28;N;6384
2019;44;M;29698
2018;32;P;8093
2014;32;S;16262
2015;11;C;29384
2015;11;K;41402
2014;27;R;4707
2019;75;S;29093
2019;75;P;15182
2020;84;D;4067
2017;53;N;7967
2017;11;N;47862
2014;11;Q;72375
2021;75;J;12729
2019;24;F;18534
2020;76;L;32703
2014;75;Q;41869
2021;93;Q;62148
2019;24;S;9559
2018;44;N;11283
2019;52;S;14350
2019;32;N;12083
2017;11;P;34627
2021;28;N;10071
2019;76;N;21527
2019;84;K;24867
2014;52;I;11662
2021;32;N;14730
2020;52;D;2835
2020;32;I;17182
2014;28;C;9577
2016;94;F;5540
2019;93;H;13718
2016;32;M;24563
2016;52;S;12086
2016;52;C;12293
2019;76;R;15050
2015;32;S;16562
2014;04;M;2871
2017;53;L;16086
2016;24;N;5962
2018;27;N;6481
2018;53;K;11415
2020;02;K;886
2014;53;C;10962
2021;52;C;15618
2021;04;I;3546
2018;52;I;12588
2020;28;H;5445
2020;52;C;14298
2016;93;L;28973
2021;44;N;15411
2015;76;J;8777
2019;24;P;4778
2016;28;M;13692
2019;76;C;23813
2017;52;H;3639
2018;01;F;2781
2017;84;Q;61549
2019;27;N;6963
2015;24;D;711
2017;04;N;3143
2017;53;F;23428
2021;52;D;3013
2017;32;I;16355
2019;52;D;2711
2017;76;P;15791
2019;44;I;17716
2016;27;J;2428
2015;52;I;11902
2017;44;N;10361
2018;28;Q;19239
2017;24;N;6222
2019;27;J;2965
2020;75;D;4370
2018;84;Q;65714
2015;84;R;16368
2017;24;M;11153
2021;84;R;22208
2016;84;S;27970
2016;28;R;5511
2016;44;S;17882
2020;75;R;14164
2015;52;C;12212
2020;76;J;12487
2017;84;L;43804
2015;75;Q;43961
2017;94;G;5218
2014;75;I;23248
2014;04;G;7372
2014;52;K;9314
2017;93;Q;53164
2020;53;S;13130
2019;53;G;31619
2017;28;L;11448
2016;11;D;2651
2015;52;J;4496
2014;94;S;1394
2017;44;R;8514
2016;27;L;11678
2015;76;D;4639
2021;84;H;23156
2021;84;P;35362
2017;28;H;3632
2017;75;M;35530
2017;53;C;11500
2016;84;J;12827
2015;75;D;3222
2021;27;R;5912
2019;11;N;54411
2019;76;P;18646
2021;32;I;17797
2017;44;J;5774
2021;27;N;8508
2018;28;M;15457
2015;44;N;9478
2020;32;P;8884
2021;44;M;34230
2021;53;I;15273
2016;76;H;6709
2019;24;M;12732
2021;11;J;89304
2021;93;R;15867
2021;24;G;26648
2015;93;I;27618
2015;52;S;11897
2016;94;G;5189
2016;04;M;3268
2019;93;S;27307
2019;28;I;11889
2015;44;I;16721
2021;52;I;13406
2014;32;Q;32975
2016;11;J;61876
2021;75;H;14089
2018;44;R;9109
2015;27;D;877
2021;28;R;6732
2015;04;C;2578
2014;76;J;8408
2018;32;D;1057
2019;52;F;26142
2018;75;I;26710
2020;75;L;34824
2016;11;P;32820
2020;32;N;13016
2019;11;J;76439
2021;28;S;14162
2014;24;S;8144
2018;94;I;3850
2017;52;Q;24091
2021;11;S;49837
2015;76;P;14303
2017;27;M;12430
2021;24;R;5371
2015;28;S;10442
2015;53;S;10372
2019;53;C;12727
2019;28;F;21674
2019;53;Q;27817
2020;44;I;17920
2021;11;H;89570
2021;27;C;12691
2014;27;P;4087
2021;32;C;17586
2020;11;J;81919
2016;75;N;16654
2015;27;Q;16164
2017;52;R;7199
2016;52;N;8283
2014;84;H;10225
2017;32;N;9891
2021;76;L;34488
2014;53;S;10204
2016;27;R;4863
2020;44;N;13497
2018;28;L;11704
2021;75;L;36488
2015;75;N;15817
2018;44;L;21198
2019;84;Q;68149
2019;75;J;9842
2016;75;D;3561
2020;11;D;3589
2018;52;Q;25462
2018;52;M;22644
2014;93;L;28092
2021;52;M;29968
2018;11;N;51285
2016;32;F;30994
2018;93;I;29365
2018;27;M;13374
2018;11;C;30110
2019;28;N;8346
2018;27;Q;18148
2019;44;L;21359
2017;53;S;10566
2019;11;F;88838
2017;75;K;16034
2021;53;K;14423
2019;04;F;5489
2021;44;R;10163
2021;44;P;11724
2017;75;P;12490
2018;04;C;2672
2015;28;L;11426
2021;76;R;16336
2017;93;R;12528
2018;84;H;14320
2020;52;S;15259
2014;75;J;7052
2019;44;P;10074
2018;93;Q;56469
2016;53;I;13780
2019;24;I;8465
2017;93;P;15774
2014;28;H;3453
2018;28;C;9917
2016;93;E;701
2020;53;G;31791
2020;84;J;17847
2020;11;F;93000
2021;32;S;22481
2017;27;P;4732
2015;93;H;8663
2018;93;S;25077
2016;04;S;1751
2016;01;L;1290
2014;44;P;7386
2020;76;H;12226
2015;84;I;34884
2019;53;S;12307
2021;11;I;52115
2014;75;H;6223
2017;28;S;10585
2020;44;R;9324
2015;94;G;5072
2015;94;M;2120
2021;94;G;5687
2014;24;I;7728
2019;28;L;11861
2014;28;S;10382
2018;24;I;8271
2015;01;F;2754
2016;44;N;9922
2018;24;Q;14786
2021;52;J;7797
2020;53;C;13394
2019;32;I;17006
2015;04;G;7642
2016;27;S;9077
2014;94;F;5289
2015;02;M;1718
2015;53;C;11158
2018;94;Q;3523
2016;53;P;5408
2015;32;N;8916
2019;27;F;20381
2014;53;N;7033
2019;53;J;5178
2021;27;L;12904
2020;44;F;38100
2018;02;C;1350
2016;32;H;6627
2017;27;N;5928
2014;53;Q;22421
2020;01;G;4655
2020;84;Q;70229
2021;75;D;4671
2019;52;C;13575
2019;27;R;5595
2019;84;J;16329
2020;28;G;32154
2020;94;F;6487
2021;84;C;39647
2021;53;C;14681
2015;27;C;10669
2016;04;C;2611
2017;24;C;8503
2015;52;P;5934
2019;76;L;31986
2021;03;C;729
2020;52;G;35890
2017;76;Q;54875
2019;24;H;3760
2017;24;E;632
2019;94;C;1906
2016;94;R;655
2018;24;P;4537
2020;11;H;78632
2018;44;F;35238
2021;28;C;11992
2019;28;Q;19917
2017;53;H;3514
2016;01;G;4433
2017;24;Q;14165
2018;93;P;17252
2020;93;P;18985
2018;53;L;16321
2021;27;G;32136
2014;94;M;2000
2017;53;P;5667
2018;11;Q;84638
2017;32;R;7724
2017;53;Q;25220
2019;76;Q;60484
2019;44;E;1607
2014;75;D;2771
2015;04;R;749
2015;27;P;4343
2017;11;Q;79869
2014;27;H;2714
2018;11;R;47019
2017;52;C;12459
2018;53;H;4073
2014;93;D;1596
2014;53;J;3656
2014;53;I;13260
2019;32;G;49941
2019;52;H;4932
2020;24;N;7972
2014;76;H;6237
2020;28;Q;20582
2018;84;J;15010
2018;04;H;1487
2016;11;Q;77522
2018;28;P;5249
2015;94;I;3502
2019;53;L;16572
2016;28;J;3050
2020;53;N;10452
2015;75;H;6388
2017;84;H;12398
2014;52;H;3177
2016;27;P;4485
2014;52;P;5546
2015;84;H;10626
2015;52;K;10176
2017;44;S;18076
2020;84;S;35868
2014;44;Q;31879
2015;24;P;3779
2019;94;F;6268
2020;75;Q;55364
2015;27;S;9125
2016;44;Q;34666
2014;24;J;2552
2019;32;P;8636
2015;28;H;3503
2021;93;J;14796
2018;27;C;10968
2018;27;L;11936
2018;53;N;8782
2020;24;F;19059
2017;75;D;3867
2019;44;D;3199
2014;32;H;6056
2016;32;J;5825
2014;52;C;12046
2016;11;C;29421
2021;03;P;372
2015;84;D;2878
2018;32;J;6843
2019;27;C;11324
2018;94;L;2209
2020;32;S;20203
2018;44;P;9398
2018;44;Q;37538
2018;44;S;19239
2019;52;I;12940
2020;84;H;19216
2021;52;N;12951
2014;24;Q;12769
2014;93;E;668
2014;01;C;1591
2014;52;D;1559
2019;11;Q;87554
2014;28;D;569
2020;24;R;4872
2019;93;L;31816
2016;93;R;11883
2014;53;R;6437
2021;11;C;34171
2017;04;Q;6809
2021;84;Q;72697
2021;44;H;11693
2020;27;I;10422
2015;94;N;1470
2016;75;R;12083
2020;27;S;10997
2019;75;C;25377
2021;53;R;8370
2015;44;D;2517
2016;27;I;9793
2017;02;I;1386
2014;01;G;4330
2021;44;S;24274
2014;02;I;1161
2014;01;Q;2247
2015;84;K;20782
2015;53;Q;23388
2020;94;M;2965
2018;94;G;5340
2017;53;I;13915
2017;44;Q;35803
2020;52;R;8149
2019;75;K;19090
2017;32;P;7381
2020;52;N;11423
2020;44;P;10565
2014;52;S;11710
2018;04;I;2529
2017;27;Q;17287
2020;53;L;17012
2015;24;Q;13292
2015;52;R;6584
2018;52;C;12957
2014;03;F;1189
2015;32;H;6256
2021;52;P;8902
2014;32;R;6977
2018;11;D;3211
2020;53;I;14699
2021;32;P;9909
2017;24;H;2784
2016;94;C;1671
2016;53;N;7638
2016;53;C;11291
2018;52;P;7308
2017;27;S;9104
2015;52;H;3238
2017;28;Q;18299
2015;27;J;2393
2019;44;Q;38861
2020;93;R;14661
2014;24;D;581
2020;52;Q;27604
2016;32;Q;35931
2014;53;M;14639
2020;94;G;5376
2018;24;H;3248
2019;94;G;5327
2020;28;D;1031
2018;44;I;17355
2017;53;J;4239
2017;84;J;13531
2016;24;P;3948
2020;27;F;20992
2015;94;S;1497
2019;84;D;3910
2017;04;F;5250
2017;24;P;4099
2015;27;N;5583
2015;28;I;11082
2017;03;P;218
2017;28;C;9630
2015;24;S;8251
2020;27;C;11746
2019;28;S;12056
2018;52;H;4186
2020;53;J;5672
2021;24;Q;16166
2020;32;M;31528
2015;28;Q;17096
2017;44;L;20836
2021;01;F;3453
2018;11;H;56968
2019;32;L;17466
2016;52;J;4732
2019;03;F;1273
2014;94;P;528
2016;28;I;11212
2021;03;M;1054
2019;28;R;6155
2020;03;G;1635
2014;44;H;5254
2021;53;P;7446
2014;84;E;1686
2019;75;Q;53529
2014;28;L;11647
2019;04;G;8204
2020;28;R;6123
2020;11;Q;89377
2019;24;N;7338
2021;76;J;14345
2016;44;P;8148
2015;44;J;5456
2018;27;I;10113
2019;76;D;6297
2021;28;D;1165
2021;76;K;18028
2015;27;K;5589
2021;01;M;2722
2018;24;S;9057
2021;52;Q;28584
2015;32;P;6826
2017;52;S;12237
2021;28;Q;21418
2018;11;E;1370
2014;75;K;12782
2018;04;R;882
2020;93;D;2395
2021;53;J;6602
2015;02;N;10797
2021;32;H;14108
2017;32;Q;37160
2020;32;L;17976
2016;02;M;1796
2017;24;L;9978
2019;94;I;4067
2021;75;P;17804
2014;11;N;43273
2021;11;E;1697
2019;32;Q;40300
2015;11;J;59249
2016;28;L;11404
2016;03;F;1318
2021;04;G;9954
2020;28;M;17472
2016;53;H;3358
2017;84;D;3353
2015;04;I;2227
2021;32;F;36015
2019;27;Q;18694
2017;24;R;4422
2015;28;D;659
2016;94;N;1532
2016;28;P;4697
2021;28;I;12411
2016;24;R;4314
2015;52;E;792
2015;93;D;1750
2021;93;H;19084
2019;94;N;2090
2018;28;I;11556
2017;11;J;64876
2017;44;H;5877
2018;27;R;5303
2019;32;S;19089
2015;32;J;5737
2015;27;R;4722
2020;01;N;3654
2018;24;L;10067
2017;01;N;2540
2017;24;S;8483
2016;11;L;52676
2014;94;C;1516
2017;32;J;6065
2021;04;F;6606
2019;75;L;34097
2019;53;N;9700
2017;24;I;8025
2014;28;R;5277
2021;52;R;8845
2016;94;P;593
2021;84;D;4464
2015;02;G;3668
2017;76;J;9519
2018;93;E;712
2019;28;J;3867
2017;28;J;3266
2019;52;Q;26696
2016;52;D;2099
2014;04;Q;5841
2014;24;K;4593
2015;11;I;44473
2021;32;J;9588
2020;04;F;5901
2019;24;D;1029
2017;52;K;11329
2020;04;C;3012
2021;94;I;4492
2019;27;H;3590
2014;93;K;11855
2018;27;P;5223
2018;93;H;11579
2021;53;Q;29909
2020;27;N;7494
2019;11;K;51515
2021;28;P;6087
2021;84;J;20316
2018;75;K;17237
2014;44;K;10576
2016;75;J;7759
2018;84;D;3699
2021;52;H;7341
2016;76;D;4976
2017;27;D;1063
2019;75;D;4199
2016;28;H;3566
2019;76;H;10964
2018;75;J;9149
2020;28;S;12785
2021;93;L;35224
2016;24;J;2721
2019;53;I;14614
2016;04;G;7925
2021;24;S;11266
2016;03;C;595
2019;04;Q;7746
