business_failure_code_bq;region_name;period_scope;sector_name;business_failure_code;business_failure_description
DIREN_M_D974_DE_UL_DF_03_N_ZZ_TT;La Réunion;12 mois;Tous secteurs;DIREN.M.D974.DE.UL.DF.03.N.ZZ.TT;La Réunion - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D975_DE_UL_DF_03_N_ZZ_TT;Saint Pierre et Miquelon;12 mois;Tous secteurs;DIREN.M.D975.DE.UL.DF.03.N.ZZ.TT;Saint Pierre et Miquelon - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D976_DE_UL_DF_03_N_ZZ_TT;Mayotte;12 mois;Tous secteurs;DIREN.M.D976.DE.UL.DF.03.N.ZZ.TT;Mayotte - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_DOM_DE_UL_DF_03_N_AZ_TT;Départements d'Outre-Mer;12 mois;Agriculture, sylviculture et pêche;DIREN.M.DOM.DE.UL.DF.03.N.AZ.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Agriculture, sylviculture et pêche - Brut
DIREN_M_DOM_DE_UL_DF_03_N_BE_TT;Départements d'Outre-Mer;12 mois;Industrie;DIREN.M.DOM.DE.UL.DF.03.N.BE.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Industrie - Brut
DIREN_M_DOM_DE_UL_DF_03_N_FZ_TT;Départements d'Outre-Mer;12 mois;Construction;DIREN.M.DOM.DE.UL.DF.03.N.FZ.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Construction - Brut
DIREN_M_DOM_DE_UL_DF_03_N_G_TT;Départements d'Outre-Mer;12 mois;Commerce et réparation automobile;DIREN.M.DOM.DE.UL.DF.03.N.G.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Commerce et réparation automobile - Brut
DIREN_M_DOM_DE_UL_DF_03_N_H_TT;Départements d'Outre-Mer;12 mois;Transports et entreposage;DIREN.M.DOM.DE.UL.DF.03.N.H.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Transports et entreposage - Brut
DIREN_M_DOM_DE_UL_DF_03_N_I_TT;Départements d'Outre-Mer;12 mois;Hébergement et restauration;DIREN.M.DOM.DE.UL.DF.03.N.I.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Hébergement et restauration - Brut
DIREN_M_DOM_DE_UL_DF_03_N_JZ_TT;Départements d'Outre-Mer;12 mois;Information et communication;DIREN.M.DOM.DE.UL.DF.03.N.JZ.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Information et communication - Brut
DIREN_M_DOM_DE_UL_DF_03_N_KZ_TT;Départements d'Outre-Mer;12 mois;Activités financières et d'assurance;DIREN.M.DOM.DE.UL.DF.03.N.KZ.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Activités financières et d'assurance - Brut
DIREN_M_DOM_DE_UL_DF_03_N_LZ_TT;Départements d'Outre-Mer;12 mois;Activités immobilières;DIREN.M.DOM.DE.UL.DF.03.N.LZ.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Activités immobilières - Brut
