ANNEE,defaillances_annee,NB_UL,region,sector,taux
2015,440,2740,Bourgogne-Franche-Comté,Transports et entreposage,0.1605839416
2014,490,2714,Bourgogne-Franche-Comté,Transports et entreposage,0.1805453206
2021,200,3723,Bourgogne-Franche-Comté,Information et communication,0.05372011818
2020,150,3218,Bourgogne-Franche-Comté,Information et communication,0.04661280298
2019,350,2965,Bourgogne-Franche-Comté,Information et communication,0.1180438449
2018,240,2726,Bourgogne-Franche-Comté,Information et communication,0.08804108584
2017,320,2488,Bourgogne-Franche-Comté,Information et communication,0.1286173633
2016,230,2428,Bourgogne-Franche-Comté,Information et communication,0.09472817133
2015,280,2393,Bourgogne-Franche-Comté,Information et communication,0.1170079398
2014,250,2336,Bourgogne-Franche-Comté,Information et communication,0.1070205479
2021,1070,10696,Bourgogne-Franche-Comté,Hébergement et restauration,0.1000373972
2020,1960,10422,Bourgogne-Franche-Comté,Hébergement et restauration,0.1880637114
2019,2890,10322,Bourgogne-Franche-Comté,Hébergement et restauration,0.2799844991
2018,2830,10113,Bourgogne-Franche-Comté,Hébergement et restauration,0.2798378325
2017,3290,9912,Bourgogne-Franche-Comté,Hébergement et restauration,0.331920904
2016,3090,9793,Bourgogne-Franche-Comté,Hébergement et restauration,0.3155315021
2015,3820,9735,Bourgogne-Franche-Comté,Hébergement et restauration,0.3923985619
2014,3230,9517,Bourgogne-Franche-Comté,Hébergement et restauration,0.3393926658
2021,1930,22264,Bourgogne-Franche-Comté,Construction,0.08668702839
2020,2070,20992,Bourgogne-Franche-Comté,Construction,0.0986089939
2019,3610,20381,Bourgogne-Franche-Comté,Construction,0.1771257544
2018,3250,19889,Bourgogne-Franche-Comté,Construction,0.1634069083
2017,3640,19292,Bourgogne-Franche-Comté,Construction,0.1886792453
2016,4430,19374,Bourgogne-Franche-Comté,Construction,0.2286569629
2015,5220,19485,Bourgogne-Franche-Comté,Construction,0.2678983834
2014,5330,19393,Bourgogne-Franche-Comté,Construction,0.2748414376
2021,620,12904,Bourgogne-Franche-Comté,Activités immobilières,0.04804711717
2020,510,12466,Bourgogne-Franche-Comté,Activités immobilières,0.04091127868
2019,670,12173,Bourgogne-Franche-Comté,Activités immobilières,0.05503984227
2018,720,11936,Bourgogne-Franche-Comté,Activités immobilières,0.06032171582
2017,870,11753,Bourgogne-Franche-Comté,Activités immobilières,0.07402365354
2016,760,11678,Bourgogne-Franche-Comté,Activités immobilières,0.06507963692
2015,780,11772,Bourgogne-Franche-Comté,Activités immobilières,0.06625891947
2014,1020,12038,Bourgogne-Franche-Comté,Activités immobilières,0.084731683
2021,240,7395,Bourgogne-Franche-Comté,Activités financières et d'assurance,0.03245436105
2020,300,6862,Bourgogne-Franche-Comté,Activités financières et d'assurance,0.04371903235
2019,400,6513,Bourgogne-Franche-Comté,Activités financières et d'assurance,0.06141563028
2018,380,6181,Bourgogne-Franche-Comté,Activités financières et d'assurance,0.06147872513
2017,200,5897,Bourgogne-Franche-Comté,Activités financières et d'assurance,0.03391555028
2016,400,5720,Bourgogne-Franche-Comté,Activités financières et d'assurance,0.06993006993
2015,370,5589,Bourgogne-Franche-Comté,Activités financières et d'assurance,0.06620146717
2014,350,5291,Bourgogne-Franche-Comté,Activités financières et d'assurance,0.06615006615
2021,950,23156,Auvergne-Rhône-Alpes,Transports et entreposage,0.04102608395
2020,940,19216,Auvergne-Rhône-Alpes,Transports et entreposage,0.04891756869
2019,2020,17090,Auvergne-Rhône-Alpes,Transports et entreposage,0.1181977765
2018,1990,14320,Auvergne-Rhône-Alpes,Transports et entreposage,0.1389664804
2017,2170,12398,Auvergne-Rhône-Alpes,Transports et entreposage,0.1750282304
2016,1810,11491,Auvergne-Rhône-Alpes,Transports et entreposage,0.1575145766
2015,1690,10626,Auvergne-Rhône-Alpes,Transports et entreposage,0.1590438547
2014,2040,10225,Auvergne-Rhône-Alpes,Transports et entreposage,0.1995110024
2021,730,20316,Auvergne-Rhône-Alpes,Information et communication,0.03593227013
2020,970,17847,Auvergne-Rhône-Alpes,Information et communication,0.05435087129
2019,1270,16329,Auvergne-Rhône-Alpes,Information et communication,0.07777573642
2018,1150,15010,Auvergne-Rhône-Alpes,Information et communication,0.07661558961
2017,1250,13531,Auvergne-Rhône-Alpes,Information et communication,0.09238045969
2016,1490,12827,Auvergne-Rhône-Alpes,Information et communication,0.1161612224
2015,1260,12329,Auvergne-Rhône-Alpes,Information et communication,0.1021980696
2014,1750,11815,Auvergne-Rhône-Alpes,Information et communication,0.1481168007
2021,2590,39867,Auvergne-Rhône-Alpes,Hébergement et restauration,0.06496601199
2020,4950,38785,Auvergne-Rhône-Alpes,Hébergement et restauration,0.1276266598
2019,7880,38112,Auvergne-Rhône-Alpes,Hébergement et restauration,0.206759026
2018,9090,36877,Auvergne-Rhône-Alpes,Hébergement et restauration,0.2464951054
2017,9360,35704,Auvergne-Rhône-Alpes,Hébergement et restauration,0.2621555008
2016,9300,35595,Auvergne-Rhône-Alpes,Hébergement et restauration,0.2612726507
2015,10170,34884,Auvergne-Rhône-Alpes,Hébergement et restauration,0.2915376677
2014,9760,33955,Auvergne-Rhône-Alpes,Hébergement et restauration,0.2874392578
2021,6750,84557,Auvergne-Rhône-Alpes,Construction,0.07982780846
2020,6690,79322,Auvergne-Rhône-Alpes,Construction,0.08433977963
2019,13890,75678,Auvergne-Rhône-Alpes,Construction,0.1835407912
2018,14280,72534,Auvergne-Rhône-Alpes,Construction,0.1968731905
2017,14520,69608,Auvergne-Rhône-Alpes,Construction,0.208596713
2016,16330,68944,Auvergne-Rhône-Alpes,Construction,0.2368589
2015,19990,68649,Auvergne-Rhône-Alpes,Construction,0.291191423
2014,20060,68033,Auvergne-Rhône-Alpes,Construction,0.2948569077
2021,1610,51209,Auvergne-Rhône-Alpes,Activités immobilières,0.03143978598
2020,1280,48536,Auvergne-Rhône-Alpes,Activités immobilières,0.02637217735
2019,2060,46877,Auvergne-Rhône-Alpes,Activités immobilières,0.04394479169
2018,1670,45531,Auvergne-Rhône-Alpes,Activités immobilières,0.03667830709
2017,1720,43804,Auvergne-Rhône-Alpes,Activités immobilières,0.03926582047
2016,2190,42852,Auvergne-Rhône-Alpes,Activités immobilières,0.05110613274
2015,2360,42240,Auvergne-Rhône-Alpes,Activités immobilières,0.05587121212
2014,2170,41812,Auvergne-Rhône-Alpes,Activités immobilières,0.05189897637
2021,760,28325,Auvergne-Rhône-Alpes,Activités financières et d'assurance,0.02683142101
2020,800,26396,Auvergne-Rhône-Alpes,Activités financières et d'assurance,0.03030762237
2019,1400,24867,Auvergne-Rhône-Alpes,Activités financières et d'assurance,0.05629951341
2018,1430,23527,Auvergne-Rhône-Alpes,Activités financières et d'assurance,0.06078123008
2017,1330,22195,Auvergne-Rhône-Alpes,Activités financières et d'assurance,0.05992340617
2016,1600,21531,Auvergne-Rhône-Alpes,Activités financières et d'assurance,0.0743114579
2015,1700,20782,Auvergne-Rhône-Alpes,Activités financières et d'assurance,0.08180155904
